60,480,440
c,0,0,5
c,40,0,5
c,80,0,5
c,120,0,5
c,160,0,5
c,200,0,5
c,240,0,5
c,280,0,5
c,320,0,5
c,360,0,5
c,400,0,5
c,440,0,5
c,0,40,5
c,40,40,5
c,80,40,5
c,120,40,5
c,160,40,5
c,200,40,5
c,240,40,5
c,280,40,5
c,320,40,5
c,360,40,5
c,400,40,5
c,440,40,5
c,0,80,5
c,40,80,5
c,80,80,5
c,120,80,5
c,160,80,5
c,200,80,5
c,240,80,5
c,280,80,5
c,320,80,5
c,360,80,5
c,400,80,5
c,440,80,5
c,0,120,5
c,40,120,5
c,80,120,5
c,120,120,5
c,160,120,5
c,200,120,5
c,240,120,5
c,280,120,5
c,320,120,5
c,360,120,5
c,400,120,5
c,440,120,5
c,0,160,5
c,40,160,5
c,80,160,5
c,120,160,5
c,160,160,5
c,200,160,5
c,240,160,5
c,280,160,5
c,320,160,5
c,360,160,5
c,400,160,5
c,440,160,5
c,0,200,5
c,40,200,5
c,80,200,5
c,120,200,5
c,160,200,5
c,200,200,5
c,240,200,5
c,280,200,5
c,320,200,5
c,360,200,5
c,400,200,5
c,440,200,5
c,0,240,5
c,40,240,5
c,80,240,5
c,120,240,5
c,160,240,5
c,200,240,5
c,240,240,5
c,280,240,5
c,320,240,5
c,360,240,5
c,400,240,5
c,440,240,5
c,0,280,5
c,40,280,5
c,80,280,5
c,120,280,5
c,160,280,5
c,200,280,5
c,240,280,5
c,280,280,5
c,320,280,5
c,360,280,5
c,400,280,5
c,440,280,5
c,0,320,5
c,40,320,5
c,80,320,5
c,120,320,5
c,160,320,5
c,200,320,5
c,240,320,5
c,280,320,5
c,320,320,5
c,360,320,5
c,400,320,5
c,440,320,5
c,0,360,5
c,40,360,5
c,80,360,5
c,120,360,5
c,160,360,5
c,200,360,5
c,240,360,5
c,280,360,5
c,320,360,5
c,360,360,5
c,400,360,5
c,440,360,5
c,0,400,5
c,40,400,5
c,80,400,5
c,120,400,5
c,160,400,5
c,200,400,5
c,240,400,5
c,280,400,5
c,320,400,5
c,360,400,5
c,400,400,5
c,440,400,5
